Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Key words,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Sportsfriends,68,80,-12,23%,"PS4, PC",PS4,2014,2014,,4,Finished,,No,Indie,Die Gute Fabrik,Sportsfriends,"Party, 2D",,,,
Grid Autosport,65,78,-13,17%,"PS3,X360",Switch,2014,2019,,20,Dropped,,No,Codemasters,Codemasters,Grid,Racing (simcade),,,,
Civilization Beyond Earth,64,81,-17,15%,PC,PC,2014,2014,,6,Dropped,,No,2K Games,Firaxis,Civilization,Strategy (turn-based),,,,
Banished,63,74,-11,14%,PC,PC,2014,2014,,23,Dropped,,No,Indie,Shining Rock Software,Banished,"Strategy (real-time), simulation (city-building)",,,,
Dead Nation: Apocalypse Edition,56,71,-15,7%,PS4,PS4,2014,2014,,3,Tried,0,No,Sony,Housemarque,Dead Nation,"Bullet-hell, isometric, survival",,,,
Little Big Planet 3,55,79,-24,6%,PS4,PS4,2014,2014,,7,Dropped,0,No,Sony,Sumo Digital,LittleBigPlanet,"2D, platformer, multiplayer (co-op)",,,,
Pure Pool,51,73,-22,4%,"PS4, PC, XB1",PS5,2014,2022,,3,Dropped,,No,Indie,VooFoo Studios,Pure Pool,Sports (other),,,,
Game of Thrones Telltale,48,69,-21,3%,PS4,PS4,2014,2015,,6,One-hundred,1,No,Telltale,Telltale,Game of Thrones,"Adventure, interactive story",,,,
The Last of Us,99,95,4,99%,PS4,PS4,2013,2014,,35,Finished,1,Yes,Sony,Naughty Dog,The Last of Us,"Horror, third-person, stealth, survival, story-driven, linear, cover-shooter",,94,2014,
Grand Theft Auto V,95,97,-2,95%,"PS3,X360",PS4,2013,2014,"2015, 2016, 2022",721,Extra,1,Yes,Rockstar,Rockstar,Grand Theft Auto,"Third person, cover-shooter, open-world, sandbox",97,97,2014,
Bioshock Infinite,95,94,1,95%,"PS3, X360, PC",PS5,2013,2022,,9,Finished,1,No,2K Games,Irrational Games,Bioshock,"First-person, shooter, action, story-driven, linear",,,,
Rayman Legends,92,90,2,90%,"WiiU, PS3, X360",PS4,2013,2014,,31,Extra,1,No,Ubisoft,Ubisoft Montpellier,Rayman,"Platformer, 2D",,90,2014,
Assassin's Creed IV Black Flag,88,83,5,79%,PS4,PS4,2013,2013,2014,111,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Stealth, open-world, platforming, third-person",,,,
Super Mario 3D World,88,93,-5,79%,WiiU,Switch,2013,2021,,14,Extra,1,Yes,Nintendo,Nintendo,Super Mario (3D),"Platformer, collectathon, third-person",,89,2021,
Tearaway,85,87,-2,71%,Vita,Vita,2013,2014,,8,Finished,1,No,Sony,Media Molecule,Tearaway,"Platformer, third-person",,,,
Europa Universalis IV,84,87,-3,68%,PC,PC,2013,2015,"2016, 2017, 2018, 2019, 2020",351,Extra,,Yes,Paradox Interactive,Paradox,Paradox 4X,Strategy,80,,,
Tomb Raider,83,85,-2,65%,PS4,PS4,2013,2015,,10,Finished,1,No,Square Enix,Crystal Dynamics,Tomb Raider,"Third-person, cover-shooter, linear, story-driven, platforming, puzzles",,,,
Resogun,81,84,-3,60%,PS4,PS4,2013,2013,,27,One-hundred,1,No,Sony,Housemarque,Resogun,"Action, bullet-hell, roguelike, 2D",,,,
Fifa 14,81,85,-4,60%,"PS3, PS4, X360, XB1",PS4,2013,2013,2014,300,Extra,,No,EA,EA sports,Fifa,Sports (football),,,,
Path of Exile,81,93,-12,60%,PC,PC,2013,2019,,39,Finished,1,Yes,Indie,Grinding Gear Games,Path of Exile,"Action-RPG, isometric, hack and slash, looter",73,,,
Pokemon Y,79,86,-7,54%,3DS,3DS,2013,2013,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
Football Manager 2014,77,85,-8,48%,PC,PC,2013,2014,2014,74,Finished,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Battlefield 4,77,85,-8,48%,PS4,PS4,2013,2013,,50,Finished,1,No,EA,DICE,Battlefield,"First-person, shooter, linear, multiplayer",,,,
Guacamelee!,75,83,-8,42%,Vita,Vita,2013,2014,,3,Tried,0,No,Indie,DrinkBox,Guacamelee!,"2D, platformer, metroidvania",,,,
Warframe,74,71,3,39%,PC,PC,2013,2018,,51,Dropped,0,Yes,Indie,Digital Extremes,Warframe,"Third-person, shooter, action-RPG, looter",60,,,
Don't Starve,70,79,-9,28%,PC,PS4,2013,2014,,6,Dropped,,No,Indie,Klei Entertainment,Don't Starve,"Survival, horror, top-down",,,,
Killzone Shadow Fall,69,73,-4,25%,PS4,PS4,2013,2013,,38,Finished,1,No,Sony,Guerrilla Games,Killzone,"First-person, shooter, linear, multiplayer",,,,
Assassin's Creed Freedom Cry,68,70,-2,23%,PS4,PS4,2013,2017,,5,Finished,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Stealth, open-world, platforming, third-person",,,,
War Thunder,65,75,-10,17%,"PS4, PC",PS4,2013,2013,,15,Dropped,,No,Indie,Gaijin Entertainment,War Thunder,"Multiplayer (online), action",,,,
Lyne,64,86,-22,15%,"Mobile, PC",Mobile,2013,2022,,3,Dropped,,No,Indie,Thomas Bowker,Lyne,Puzzle,,,,
Democracy 3,52,70,-18,4%,PC,PC,2013,2013,2020,13,Finished,,No,Indie,Positech Games,Democracy,Simulation (management),,,,
Contrast,43,59,-16,1%,PS4,PS4,2013,2013,,2,Dropped,0,No,Focus Home Interactive,Compulsion Games,Contrast,"Puzzle, third-person",,,,
Fifa 14 Legacy Edition,37,38,-1,0%,"Vita, WiiU",Vita,2013,2013,,10,Tried,,No,EA,EA Sports,Fifa,Sports (football),,,,
Mass Effect 3,94,93,1,94%,"PS3, X360, PC",XBS,2012,2022,,28,Extra,1,Yes,EA,BioWare,Mass Effect,"Third-person, cover-shooter, RPG, story-driven",,87,2021,
Guild Wars 2,93,90,3,92%,PC,PC,2012,2012,2013,640,Finished,,Yes,ArenaNet,ArenaNet,Guild Wars,"RPG, MMO, third-person",,,,
Diablo 3,88,88,0,79%,PC,PC,2012,2012,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2023",1360,One-hundred,10,Yes,Activision-Blizzard,Blizzard,Diablo,"Isometric, Action-RPG, hack and slash, looter",80,,,
Borderlands 2,88,89,-1,79%,X360,X360,2012,2013,,50,Finished,1,No,2K Games,Gearbox,Borderlands,"First-person, shooter, open-world, action-rpg, looter",,,,
Journey,88,92,-4,79%,PS3,PS4,2012,2016,,2,Finished,1,No,Annapurna,Thatgamecompany,Journey,"Adventure, third-person",,,,
Pokemon Black 2,84,80,4,68%,DS,3DS,2012,2013,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, top-down, turn-based",,,,
Halo 4,82,87,-5,63%,X360,XBS,2012,2021,,10,Finished,1,No,Microsoft,343 industries,Halo,"First-person, shooter, linear, multiplayer",,,,
Football Manager 2013,79,86,-7,54%,PC,PC,2012,2012,"2013, 2014",191,Extra,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Call of Duty Black Ops II,79,83,-4,54%,"X360, PS3, PC",PC,2012,2012,2013,55,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,"First-person, shooter, multiplayer, linear",,,,
F1 2012,78,81,-3,50%,PC,PC,2012,2012,2013,110,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Fifa 13,78,90,-12,50%,"X360, PS3",X360,2012,2013,,50,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Xenoblade Chronicles,78,92,-14,50%,Wii,Switch,2012,2020,,44,Finished,1,No,Nintendo,Monolith Soft,Xenoblade,"Action-RPG, open-world, story-driven, third-person",,89,2020,
Torchlight 2,78,88,-10,50%,PC,PC,2012,2012,,14,Dropped,0,No,Indie,Runic Games,Torchlight,"Isometric, Action-RPG, hack and slash, looter",,,,
XCOM: Enemy Unknown,78,89,-11,50%,"PC, PS3, X360",PC,2012,2014,,10,Dropped,0,No,2K Games,Firaxis,XCOM,"Strategy, turn-based, isometric",,,,
Spec Ops The Line,73,76,-3,36%,PC,PC,2012,2017,,5,Finished,1,No,2K Games,Yager Development,Spec Ops,"First-person, shooter, linear, story-driven",,,,
Game Dev Tycoon,66,68,-2,19%,PC,PC,2012,2012,2013,54,Extra,,No,Indie,Greenheart Games,Game Dev Tycoon,Simulation (management),,,,
Factorio,66,70,-4,19%,PC,PC,2012,2016,2020,33,Dropped,,Yes,Indie,Wube Software,Factorio,"Simulation (management), strategy",,,,
New Super Mario Bros. 2,65,78,-13,17%,3DS,3DS,2012,2012,,4,Dropped,0,No,Nintendo,Nintendo,Super Mario (2D),"2D, platformer",,,,
Awesomenauts,64,78,-14,15%,PC,PC,2012,2012,,22,Dropped,,No,Indie,Ronimo Games,Awesomenauts,Multiplayer (MOBA),,,,
Sonic & All Stars Racing Transformed,63,75,-12,14%,Vita,Vita,2012,2014,,5,Tried,,No,SEGA,Sumo Digital,Sonic,Racing (kart),,,,
Warlock - Master of the Arcane,61,71,-10,11%,PC,PC,2012,2013,,9,Dropped,,No,Paradox Interactive,Paradox,Warlock,Strategy (turn-based),,,,
Portal 2,95,95,0,95%,PC,PC,2011,2012,,14,Finished,1,No,Valve,Valve,Portal,"Puzzle, first-person",,,,
Uncharted 3 Drake's Deception,91,92,-1,87%,PS3,PS3,2011,2011,2015,32,Finished,2,No,Sony,Naughty Dog,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming",,,,
Forza 4,90,91,-1,84%,X360,X360,2011,2013,,30,Finished,,No,Microsoft,Turn 10 studios,Forza,Racing (simcade),,,,
Minecraft,86,93,-7,74%,PC,PC,2011,2012,"2013, 2015, 2017, 2018, 2019, 2020",1100,One-hundred,,Yes,Microsoft,Mojang,Minecraft,"Sandbox, open-world, exploration, survival, first-person",,,,
Dragon Age 2,86,79,7,74%,"X360, PS3, PC",PS3,2011,2011,,50,Extra,1,No,EA,BioWare,Dragon Age,"RPG, hack and slash, story-driven, third-person",,,,
Mario Kart 7,85,85,0,71%,3DS,3DS,2011,2012,,30,Finished,,No,Nintendo,Nintendo,Mario Kart,Racing (kart),,,,
Call of Duty Modern Warfare 3,84,89,-5,68%,"X360, PS3",PS3,2011,2011,2012,100,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,"First-person, shooter, multiplayer, linear",,,,
The Legend of Zelda: Skyward Sword,84,93,-9,68%,Switch,Switch,2011,2021,,25,Finished,1,No,Nintendo,Nintendo,The Legend of Zelda,"Hack and slash, adventure, puzzles, story-driven, third-person",,82,2021,
Assassin's Creed Revelations,83,80,3,65%,"X360, PS3",PS3,2011,2011,,40,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Stealth, open-world, platforming, third-person, story-driven",,,,
Terraria,83,83,0,65%,PC,PC,2011,2013,"2014, 2017",33,Finished,1,Yes,Indie,Re-Logic,Terraria,"Platformer, sandbox, RPG, 2D",,,,
F1 2011,80,84,-4,57%,"X360, PS3",PS3,2011,2012,,70,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Fifa 12,80,90,-10,57%,"X360, PS3",X360,2011,2013,,30,Dropped,,No,EA,EA sports,Fifa,Sports (football),,,,
Football Manager 2012,78,84,-6,50%,PC,PC,2011,2011,2012,87,Finished,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Uncharted Golden Abyss,72,80,-8,33%,Vita,Vita,2011,2014,,7,Finished,1,No,Sony,Bend Studio,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming",,,,
Batman Arkham City,71,94,-23,30%,"PS3, X360",PS5,2011,2023,,9,Finished,1,No,Warner Bros,Rocksteady,Batman,"Open-world, superhero, third-person, story-driven",,76,2016,
Skyrim,69,94,-25,25%,"X360, PS3",PS3,2011,2012,,10,Dropped,0,No,Bethesda,Bethesda Softworks,Skyrim,"RPG, open-world,  first-person",,,,
DC Universe Online,55,72,-17,6%,PC,PS4,2011,2013,,5,Tried,0,Yes,Warner Bros,Daybreak Game Company,DC Universe,"MMO, superhero, third-person",,,,
Super Mario Galaxy 2,97,97,0,98%,Wii,Wii,2010,2010,,20,Finished,1,No,Nintendo,Nintendo,Super Mario (3D),"Platformer, third-person",,,,
Mass Effect 2,95,96,-1,95%,"X360, PC",XBS,2010,2022,,21,Extra,1,Yes,EA,BioWare,Mass Effect,"Third-person, cover-shooter, RPG, story-driven",,87,2021,
God of War 3,94,92,2,94%,PS3,PS4,2010,2015,2023,24,Finished,2,No,Sony,Santa Monica Studio,God of War,"Hack and slash, third-person, linear, platforming",,80,2015,
Assassin's Creed Brotherhood,92,90,2,90%,"PS3, X360",PS3,2010,2011,,60,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Stealth, open-world, platforming, third-person, story-driven",,,,
Halo Reach,90,91,-1,84%,X360,PC,2010,2021,,10,Finished,1,No,Microsoft,Bungie,Halo,"First-person, shooter, action, linear, multiplayer",,,,
Civilization V,89,90,-1,81%,PC,PC,2010,2013,"2014, 2015, 2016",511,Extra,,Yes,2K Games,Firaxis,Civilization,"Strategy, turn-based",,,,
Call of Duty Black Ops,89,88,1,81%,"PS3, X360, PC",PS3,2010,2010,2011,400,Extra,1,Yes,Activision-Blizzard,Treyarch,Call of Duty,"First-person, shooter, action, multiplayer, linear",,,,
Pokemon White,87,87,0,76%,DS,DS,2010,2011,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
Fifa 11,82,88,-6,63%,"X360, PS3",PS3,2010,2010,2011,20,Dropped,,No,EA,EA sports,Fifa,Sports (football),,,,
Bioshock 2,81,88,-7,60%,"PS3, X360",PS5,2010,2022,,4,Dropped,0,No,2K Games,Irrational Games,Bioshock,"First-person, shooter, immersive-sim, action",,84,2016,
Ys Seven,80,79,1,57%,PSP,PC,2010,2019,,26,Finished,1,No,XSEED Games,Nihon Falcom,Ys,"Action-RPG, JRPG, story-driven, isometric, hack and slash",,,,
F1 2010,79,84,-5,54%,"X360, PS3",PS3,2010,2011,,30,Dropped,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Dragon Quest IX,78,87,-9,50%,DS,DS,2010,2010,,70,Finished,1,No,Square Enix,Level-5,Dragon Quest,"JRPG, turn-based, top-down",,,,
Heavy Rain,77,87,-10,48%,PS3,PS4,2010,2017,,13,Finished,1,No,Sony,Quantic Dream,Heavy Rain,"Interactive story, story-driven, third-person",,,,
Need for Speed Hot Pursuit,75,88,-13,42%,"X360, PS3",PS3,2010,2011,,8,Tried,0,No,EA,Criterion Games,Need for Speed,"Racing (arcade), open-world",,,,
2010 FIFA World Cup South Africa,73,82,-9,36%,"X360, PS3, PSP",PSP,2010,2010,,20,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Bayonetta,69,90,-21,25%,"PS3, X360",Switch,2010,2022,,10,Finished,1,No,SEGA,Platinum Games,Bayonetta,"Action, hack and slash, third-person",,84,2018,
Uncharted 2 Among Thieves,95,96,-1,95%,PS3,PS4,2009,2015,,14,Finished,1,No,Sony,Naughty Dog,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming",,86,2015,
Call of Duty Modern Warfare 2,91,94,-3,87%,"PS3, X360, PC",PS3,2009,2011,"2015, 2020",70,Extra,2,No,Activision-Blizzard,Infinity Ward,Call of Duty,"First-person, shooter, action, multiplayer, linear",,,,
Pokemon SoulSilver,91,87,4,87%,DS,DS,2009,2009,,40,Extra,2,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, top-down, turn-based",,,,
Batman Arkham Asylum,89,92,-3,81%,"X360, PS3, PC",PS5,2009,2023,,8,Finished,1,Yes,Warner Bros,Rocksteady,Batman,"Third-person, story-driven, action, superhero",,76,2016,
Dragon Age Origins,85,91,-6,71%,"PC, PS3, X360",PS3,2009,2010,,20,Dropped,0,No,EA,BioWare,Dragon Age,"RPG, story-driven, third-person",,,,
Football Manager 2010,83,87,-4,65%,PC,PC,2009,2010,2011,32,Dropped,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Torchlight,75,83,-8,42%,PC,PC,2009,2012,,11,Dropped,0,No,Indie,Runic Games,Torchlight,"Isometric, Action-RPG, hack and slash, looter",,,,
Halo 3 ODST,72,83,-11,33%,X360,PC,2009,2021,,7,Finished,1,No,Microsoft,Bungie,Halo,"First-person, shooter",,,,
New Super Mario Bros. Wii,71,87,-16,30%,Wii,Wii,2009,2009,,6,Dropped,0,No,Nintendo,Nintendo,Super Mario (2D),"2D, platformer",,,,
F1 2009,68,69,-1,23%,Wii,Wii,2009,2009,2010,30,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Mario & Sonic at the Winter Olympic Games,64,72,-8,15%,DS,DS,2009,2010,,15,Dropped,0,No,SEGA,Sonic Team,Mario Sports,"Sports, party",,,,
Super Smash Bros. Brawl,91,93,-2,87%,Wii,Wii,2008,2008,2009,60,Finished,1,No,Nintendo,Sora ltd.,Super Smash Bros.,"Fighting, platformer, 2D",,,,
Mario Kart Wii,88,82,6,79%,Wii,Wii,2008,2008,"200,920,102,011",250,One-hundred,,No,Nintendo,Nintendo,Mario Kart,Racing (kart),,,,
Football Manager 2009,84,83,1,68%,PC,PC,2008,2009,2010,220,Extra,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Wii Fit,72,80,-8,33%,Wii,Wii,2008,2009,"2010, 2011",50,Finished,,No,Nintendo,Nintendo,Wii Fit,Fitness,,,,
Grand Theft Auto IV,70,98,-28,28%,PS3,X360,2008,2013,,15,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,"Action, open-world, sandbox, third-person",,,,
Pokemon Mystery Dunegon Explorers of Time,68,60,8,23%,DS,DS,2008,2009,,30,Finished,1,No,Nintendo,Spike Chunsoft,Pokemon,"JRPG, strategy, turn-based, top-down",,,,
Animal Crossing City Folk,62,73,-11,12%,Wii,Wii,2008,2009,,20,Dropped,0,No,Nintendo,Nintendo,Animal Crossing,Simulation (social),,,,
Mario & Sonic at the Olympic Games,61,67,-6,11%,Wii,Wii,2008,2008,2009,30,Finished,,No,SEGA,Sonic Team,Mario Sports,"Sports, party",,,,
Burnout Paradise,57,88,-31,8%,"PS3, X360",PS3,2008,2011,2021,14,Finished,2,No,EA,Criterion Games,Burnout,"Racing (arcade), open-world",,79,2018,
Super Mario Galaxy,97,97,0,98%,Wii,Wii,2007,2008,2009,45,Finished,1,No,Nintendo,Nintendo,Super Mario (3D),"Platformer, third-person",,,,
Bioshock,93,96,-3,92%,"X360, PC",PS5,2007,2022,,8,Finished,1,No,2K Games,Irrational Games,Bioshock,"First-person, shooter, horror, linear, action, story-driven, immersive-sim",,84,2016,
Mass Effect,90,91,-1,84%,X360,XBS,2007,2022,,18,Finished,1,Yes,EA,BioWare,Mass Effect,"Third-person, cover-shooter, RPG, story-driven",,87,2021,
Call of Duty Modern Warfare,90,94,-4,84%,PS3,PS4,2007,2016,,8,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,"First-person, shooter, action, linear, multiplayer",,,,
Halo 3,89,94,-5,81%,X360,PC,2007,2020,,10,Finished,1,No,Microsoft,Bungie,Halo,"First-person, shooter, linear, multiplayer",,,,
Football Manager 2008,86,86,0,74%,PC,PC,2007,2008,2009,150,Extra,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Uncharted Drake's Fortune,85,88,-3,71%,PS3,PS4,2007,2015,,10,Finished,1,No,Sony,Naughty Dog,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming",,86,2015,
Team Fortress 2,82,92,-10,63%,PC,PC,2007,2014,2015,20,Finished,,No,Valve,Valve,Team Fortress,"First-person, shooter, multiplayer",,,,
God of War II,80,93,-13,57%,PS2,PS5,2007,2023,,9,Finished,1,No,Sony,Santa Monica Studio,God of War,"Hack and slash, third-person, platforming, action, linear, puzzles",,,2010,
Wii Sports,75,76,-1,42%,Wii,Wii,2007,2008,,150,Extra,,No,Nintendo,Nintendo,Wii Sports,Sports,,,,
Mario Strikers Charged Football,75,79,-4,42%,Wii,Wii,2007,2008,,20,Finished,,No,Nintendo,Next Level Games,Mario Sports,"Sports (football), action",,,,
Mario Party 8,48,62,-14,3%,Wii,Wii,2007,2010,,5,Tried,,No,Nintendo,Nintendo,Mario Party,Party,,,,
Football Manager 2007,91,87,4,87%,PC,PC,2006,2007,2008,60,Finished,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Pokemon Diamond,85,85,0,71%,DS,DS,2006,2007,2008,70,Extra,3,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
Gears of War,85,94,-9,71%,X360,XBS,2006,2023,,6,Finished,1,No,Microsoft,Epic,Gears,"Third-person, cover-shooter, linear",,82,2015,
Lego Star Wars II: The Original Trilogy,83,84,-1,65%,PS2,PS2,2006,2007,,50,Finished,1,No,LucasArts,Traveller's Tales,Star Wars,"Action, sandbox, third-person",,,,
Grand Theft Auto Vice City Stories,81,86,-5,60%,PSP,PSP,2006,2007,,45,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,"Open-world, sandbox, third-person, cover-shooter",,,,
Fifa 07,79,82,-3,54%,PS2,PS2,2006,2006,,200,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Brain Training,71,77,-6,30%,DS,DS,2006,2008,,30,Finished,,No,Nintendo,Nintendo,Brain Training,"Puzzle, educational",,,,
Fifa Street 2,63,59,4,14%,PS2,PS2,2006,2007,,20,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Buzz! Junior Jungle Party,62,70,-8,12%,PS2,PS2,2006,2007,,40,Finished,,No,Sony,Magenta Software,Buzz!,Party,,,,
God of War (2005),93,94,-1,92%,PS2,PS5,2005,2023,,7,Finished,1,No,Sony,Santa Monica Studio,God of War,"Hack and slash, third-person, platforming, action, linear",,,2010,
Mario Kart DS,92,91,1,90%,DS,DS,2005,2007,,100,One-hundred,,No,Nintendo,Nintendo,Mario Kart,Racing (kart),,,,
Psychonauts,90,87,3,84%,PC,PC,2005,2021,,11,Finished,1,No,Indie,Double Fine,Psychonauts,"Platformer, puzzles, third-person",,,,
Lego Star Wars: The Video Game,81,78,3,60%,PS2,PS2,2005,2006,,40,Finished,1,No,Eidos Interactive,Traveller's Tales,Star Wars,"Action, sandbox, third-person",,,,
Nintendogs,72,83,-11,33%,DS,DS,2005,2007,,25,Finished,,No,Nintendo,Nintendo,Nintendogs,Simulation (social),,,,
Fifa 06 Game Boy Advance,42,49,-7,1%,GBA,GBA,2005,2005,,30,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Grand Theft Auto San Andreas,91,95,-4,87%,PS2,PS2,2004,2006,2019,25,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,"Action, open-world, sandbox, third-person",,,,
Halo 2,87,95,-8,76%,XBOX,PC,2004,2020,,10,Finished,1,No,Microsoft,Bungie,Halo,"First-person, shooter, linear, multiplayer",,,,
Mario & Luigi Superstar Saga,83,90,-7,65%,GBA,Switch,2003,2023,,14,Finished,1,Yes,Nintendo,AlphaDream,Mario & Luigi,"JRPG, Puzzles, top-down, turn-based",,,,
Star Wars: Knights of the Old Republic,76,94,-18,45%,"PC, Xbox",PC,2003,2018,,3,Tried,0,No,LucasArts,BioWare,Star Wars,"RPG, third-person",,,,
The Simpsons Hit & Run,72,78,-6,33%,PS2,PS2,2003,2006,,15,Dropped,0,No,Vivendi,Radical Entertainment,The Simpsons,"Action, open-world, sandbox, third-person",,,,
Finding Nemo,53,63,-10,5%,"GBA, PS2",GBA,2003,2004,,5,Dropped,,No,THQ,Vicarious Visions,Finding Nemo,"Puzzles, stealth, third-person",,,,
Metroid Prime,99,97,2,99%,Gamecube,Switch,2002,2023,,21,Extra,2,No,Nintendo,Retro Studios,Metroid,"Metroidvania, first-person, shooter, platforming, exploration",,94,2023,
Rollercoaster Tycoon 2,82,74,8,63%,PC,PC,2002,2004,"2005, 2006, 2007, 2010, 2019",202,Extra,,No,Infogrames (Atari),Chris Sawyer,Rollercoaster Tycoon,Simulation (management),,,,
Halo Combat Evolved,92,97,-5,90%,Xbox,PC,2001,2020,,10,Finished,1,No,Microsoft,Bungie,Halo,"First-person, shooter, action, linear, multiplayer",,82,2011,
Metroid Fusion,90,92,-2,84%,GBA,Switch,2001,2023,,6,Finished,1,Yes,Nintendo,Nintendo,Metroid,"Metroidvania, 2D, platformer",,,,
Final Fantasy X,85,92,-7,71%,PS2,PC,2001,2022,,29,Finished,1,No,Square Enix,Square Enix,Final Fantasy,"JRPG, story-driven, turn-based, third-person",,85,2013,
Crash Bandicoot The Wrath of Cortex,62,66,-4,12%,PS2,PS2,2001,2005,,10,Dropped,0,No,Universal,Traveller's Tales,Crash Bandicoot,"Platformer, third-person",,,,
Diablo 2,61,88,-27,11%,PC,PC,2000,2023,,9,Dropped,0,Yes,Activision-Blizzard,Blizzard,Diablo,"Action-RPG, isometric, looter",,80,2021,
Gran Turismo 2,89,93,-4,81%,PS,PS,1999,2004,,10,Tried,,No,Sony,Polyphony Digital,Gran Turismo,Racing (sim),,,,
Crash Team Racing,84,88,-4,68%,PS,PS4,1999,2019,,28,Finished,1,No,Activision-Blizzard,Beenox,Crash Bandicoot,Racing (kart),,83,2019,Toys for Bob
Rollercoaster Tycoon,73,78,-5,36%,PC,PC,1999,2005,,5,Dropped,,No,Infogrames (Atari),Chris Sawyer,Rollercoaster Tycoon,Simulation (management),,,,
The Legend of Zelda: Ocarina of Time,91,99,-8,87%,N64,3DS,1998,2023,,14,Dropped,0,No,Nintendo,Nintendo,The Legend of Zelda,"Adventure, exploration, puzzles, third-person",,94,2011,
Crash Bandicoot 3: Warped,87,91,-4,76%,PS1,PS4,1998,2017,,7,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,"Platformer, third-person",,80,2017,Toys for Bob
Banjo-Kazooie,85,92,-7,71%,N64,Switch,1998,2023,,6,Dropped,0,Yes,Nintendo,Rare,Banjo-Kazooie,"Collectathon, third-person, platformer",,,,
Crash Bandicoot 2: Cortex Strikes Back,89,89,0,81%,PS1,PS4,1997,2017,,7,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,"3D platformer, third-person",,80,2017,Toys for Bob
Castlevania Symphony of the Night,74,93,-19,39%,PS,X360,1997,2022,,3,Tried,0,No,Konami,Konami,Castlevania,"Metroidvania, 2D, platformer",,,,
Super Mario 64,96,96,0,96%,N64,Switch,1996,2023,,7,Finished,1,Yes,Nintendo,Nintendo,Super Mario (3D),"Third-person, platformer",,,,
Crash Bandicoot,72,80,-8,33%,PS1,PS4,1996,2017,,8,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,"Platformer, third-person",,80,2017,Toys for Bob
Donkey Kong Country 2: Diddy Kong's Quest,90,90,0,84%,SNES,Switch,1995,2023,,4,Finished,1,Yes,Nintendo,Rare,Donkey Kong,"2D, platformer",,,,
Super Metroid,93,96,-3,92%,SNES,Switch,1994,2022,,9,Finished,1,Yes,Nintendo,Nintendo,Metroid,"Platformer, metroidvania, 2D",,,,
Donkey Kong Country,87,93,-6,76%,SNES,Switch,1994,2023,,2,Finished,1,Yes,Nintendo,Rare,Donkey Kong,"2D, platformer",,,,
The Legend of Zelda: A Link to the Past,80,95,-15,57%,SNES,Switch,1991,2023,,6,Dropped,0,No,Nintendo,Nintendo,The Legend of Zelda ,"Adventure, top-down",,,,
